Tracage;ID;Nom;Image_selected;Image_unselected
;1;Mirette;Images/Tools/Mirette.png;Images/Tools/Mirette.png
;2;Pointe à graver;Images/Tools/Pointe_a_graver.png;Images/Tools/Pointe_a_graver.png
;3;Couteau;Images/Tools/Couteau.png;Images/Tools/Couteau.png
;4;Ébauchoir;Images/Tools/Ebauchoir.png;Images/Tools/Ebauchoir.png
;5;Rouleau;Images/Tools/Rouleau.png;Images/Tools/Rouleau.png
;6;Règle;Images/Tools/Regle.png;Images/Tools/Regle.png
;7;Compas;Images/Tools/Compas.png;Images/Tools/Compas.png
;8;Gomme;Images/Tools/Gomme.png;Images/Tools/Gomme.png
;9;Perceuse;Images/Tools/Perceuse.png;Images/Tools/Perceuse.png
;10;Scie à main;Images/Tools/Scie_a_main.png;Images/Tools/Scie_a_main.png
;11;Papier de verre;Images/Tools/Papier_de_verre.png;Images/Tools/Papier_de_verre.png
;12;Cale à poncer;Images/Tools/Cal_a_poncer.png;Images/Tools/Cal_a_poncer.png
;13;Ciseau;Images/Tools/Ciseau.png;Images/Tools/Ciseau.png
;14;Cutter;Images/Tools/Cutter.png;Images/Tools/Cutter.png
;15;Poinçons;Images/Tools/Poincons.png;Images/Tools/Poincons.png
;16;Gouache;Images/Tools/Gouache.png;Images/Tools/Gouache.png
;17;Crayon;Images/Tools/Crayon.png;Images/Tools/Crayon.png
;18;Pyrograveur;Images/Tools/Pyrograveur.png;Images/Tools/Pyrograveur.png
;19;Pointe à ferrer;Images/Tools/Pointe_a_ferrer.png;Images/Tools/Pointe_a_ferrer.png
;20;Vernis;Images/Tools/Vernis.png;Images/Tools/Vernis.png
;21;Lime;Images/Tools/Lime.png;Images/Tools/Lime.png
;22;Aiguille;Images/Tools/Aiguille.png;Images/Tools/Aiguille.png
;23;Fil;Images/Tools/Fil.png;Images/Tools/Fil.png