Coherence materiel technique;ID;Objet;Materiaux;outils;Score
;1;1;1;1;0
;2;1;1;2;0
;3;1;1;3;0
;4;1;1;4;0
;5;1;1;5;0
;6;1;1;6;0
;7;1;1;7;0
;8;1;1;8;0
;9;1;1;9;0
;10;1;1;10;0
;11;1;1;11;0
;12;1;1;12;0
;13;1;1;13;100
;14;1;1;14;0
;15;1;1;15;0
;16;1;1;16;100
;17;1;1;17;100
;18;1;1;18;0
;19;1;1;19;0
;20;1;1;20;0
;21;1;1;21;0
;22;1;1;22;0
;23;1;1;23;0
;24;1;2;1;0
;25;1;2;2;50
;26;1;2;3;50
;27;1;2;4;0
;28;1;2;5;0
;29;1;2;6;0
;30;1;2;7;0
;31;1;2;8;50
;32;1;2;9;20
;33;1;2;10;0
;34;1;2;11;0
;35;1;2;12;0
;36;1;2;13;100
;37;1;2;14;100
;38;1;2;15;100
;39;1;2;16;20
;40;1;2;17;0
;41;1;2;18;0
;42;1;2;19;0
;43;1;2;20;0
;44;1;2;21;20
;45;1;2;22;0
;46;1;2;23;20
;47;1;3;1;0
;48;1;3;2;0
;49;1;3;3;0
;50;1;3;4;0
;51;1;3;5;0
;52;1;3;6;0
;53;1;3;7;0
;54;1;3;8;0
;55;1;3;9;0
;56;1;3;10;0
;57;1;3;11;0
;58;1;3;12;0
;59;1;3;13;0
;60;1;3;14;0
;61;1;3;15;0
;62;1;3;16;0
;63;1;3;17;0
;64;1;3;18;0
;65;1;3;19;0
;66;1;3;20;0
;67;1;3;21;0
;68;1;3;22;0
;69;1;3;23;0
;70;1;4;1;0
;71;1;4;2;0
;72;1;4;3;0
;73;1;4;4;0
;74;1;4;5;0
;75;1;4;6;0
;76;1;4;7;0
;77;1;4;8;0
;78;1;4;9;0
;79;1;4;10;0
;80;1;4;11;0
;81;1;4;12;0
;82;1;4;13;0
;83;1;4;14;0
;84;1;4;15;0
;85;1;4;16;0
;86;1;4;17;0
;87;1;4;18;0
;88;1;4;19;0
;89;1;4;20;0
;90;1;4;21;0
;91;1;4;22;0
;92;1;4;23;0
;93;1;5;1;50
;94;1;5;2;50
;95;1;5;3;50
;96;1;5;4;0
;97;1;5;5;0
;98;1;5;6;0
;99;1;5;7;0
;100;1;5;8;50
;101;1;5;9;50
;102;1;5;10;20
;103;1;5;11;0
;104;1;5;12;0
;105;1;5;13;100
;106;1;5;14;100
;107;1;5;15;100
;108;1;5;16;0
;109;1;5;17;0
;110;1;5;18;0
;111;1;5;19;100
;112;1;5;20;0
;113;1;5;21;20
;114;1;5;22;20
;115;1;5;23;50
;116;1;6;1;50
;117;1;6;2;50
;118;1;6;3;50
;119;1;6;4;0
;120;1;6;5;0
;121;1;6;6;0
;122;1;6;7;0
;123;1;6;8;50
;124;1;6;9;50
;125;1;6;10;70
;126;1;6;11;0
;127;1;6;12;100
;128;1;6;13;70
;129;1;6;14;50
;130;1;6;15;50
;131;1;6;16;0
;132;1;6;17;0
;133;1;6;18;50
;134;1;6;19;20
;135;1;6;20;0
;136;1;6;21;0
;137;1;6;22;0
;138;1;6;23;50
;139;1;7;1;100
;140;1;7;2;100
;141;1;7;3;70
;142;1;7;4;100
;143;1;7;5;0
;144;1;7;6;0
;145;1;7;7;0
;146;1;7;8;20
;147;1;7;9;20
;148;1;7;10;50
;149;1;7;11;100
;150;1;7;12;70
;151;1;7;13;0
;152;1;7;14;0
;153;1;7;15;0
;154;1;7;16;0
;155;1;7;17;0
;156;1;7;18;70
;157;1;7;19;50
;158;1;7;20;0
;159;1;7;21;0
;160;1;7;22;0
;161;1;7;23;20
;162;1;8;1;50
;163;1;8;2;50
;164;1;8;3;20
;165;1;8;4;50
;166;1;8;5;0
;167;1;8;6;0
;168;1;8;7;0
;169;1;8;8;70
;170;1;8;9;50
;171;1;8;10;50
;172;1;8;11;70
;173;1;8;12;50
;174;1;8;13;70
;175;1;8;14;50
;176;1;8;15;50
;177;1;8;16;20
;178;1;8;17;0
;179;1;8;18;20
;180;1;8;19;50
;181;1;8;20;0
;182;1;8;21;20
;183;1;8;22;10
;184;1;8;23;50
;185;1;9;1;50
;186;1;9;2;50
;187;1;9;3;0
;188;1;9;4;0
;189;1;9;5;0
;190;1;9;6;0
;191;1;9;7;0
;192;1;9;8;50
;193;1;9;9;50
;194;1;9;10;0
;195;1;9;11;0
;196;1;9;12;0
;197;1;9;13;0
;198;1;9;14;20
;199;1;9;15;20
;200;1;9;16;0
;201;1;9;17;0
;202;1;9;18;20
;203;1;9;19;20
;204;1;9;20;0
;205;1;9;21;0
;206;1;9;22;0
;207;1;9;23;20
;208;1;10;1;100
;209;1;10;2;100
;210;1;10;3;100
;211;1;10;4;100
;212;1;10;5;0
;213;1;10;6;0
;214;1;10;7;0
;215;1;10;8;50
;216;1;10;9;20
;217;1;10;10;0
;218;1;10;11;0
;219;1;10;12;0
;220;1;10;13;100
;221;1;10;14;100
;222;1;10;15;50
;223;1;10;16;0
;224;1;10;17;0
;225;1;10;18;100
;226;1;10;19;100
;227;1;10;20;50
;228;1;10;21;100
;229;1;10;22;50
;230;1;10;23;50
;231;1;11;1;100
;232;1;11;2;100
;233;1;11;3;50
;234;1;11;4;100
;235;1;11;5;0
;236;1;11;6;0
;237;1;11;7;0
;238;1;11;8;0
;239;1;11;9;50
;240;1;11;10;20
;241;1;11;11;100
;242;1;11;12;100
;243;1;11;13;0
;244;1;11;14;0
;245;1;11;15;0
;246;1;11;16;0
;247;1;11;17;0
;248;1;11;18;100
;249;1;11;19;20
;250;1;11;20;0
;251;1;11;21;0
;252;1;11;22;0
;253;1;11;23;50
;254;1;12;1;100
;255;1;12;2;100
;256;1;12;3;50
;257;1;12;4;100
;258;1;12;5;0
;259;1;12;6;0
;260;1;12;7;0
;261;1;12;8;0
;262;1;12;9;50
;263;1;12;10;20
;264;1;12;11;100
;265;1;12;12;100
;266;1;12;13;20
;267;1;12;14;0
;268;1;12;15;0
;269;1;12;16;0
;270;1;12;17;0
;271;1;12;18;100
;272;1;12;19;50
;273;1;12;20;0
;274;1;12;21;0
;275;1;12;22;0
;276;1;12;23;50
;277;1;13;1;0
;278;1;13;2;0
;279;1;13;3;0
;280;1;13;4;0
;281;1;13;5;0
;282;1;13;6;0
;283;1;13;7;0
;284;1;13;8;0
;285;1;13;9;0
;286;1;13;10;0
;287;1;13;11;100
;288;1;13;12;0
;289;1;13;13;0
;290;1;13;14;0
;291;1;13;15;0
;292;1;13;16;0
;293;1;13;17;0
;294;1;13;18;0
;295;1;13;19;0
;296;1;13;20;0
;297;1;13;21;0
;298;1;13;22;0
;299;1;13;23;0
;300;1;14;1;100
;301;1;14;2;100
;302;1;14;3;70
;303;1;14;4;100
;304;1;14;5;0
;305;1;14;6;0
;306;1;14;7;0
;307;1;14;8;20
;308;1;14;9;20
;309;1;14;10;50
;310;1;14;11;100
;311;1;14;12;70
;312;1;14;13;0
;313;1;14;14;0
;314;1;14;15;0
;315;1;14;16;0
;316;1;14;17;0
;317;1;14;18;70
;318;1;14;19;50
;319;1;14;20;0
;320;1;14;21;0
;321;1;14;22;0
;322;1;14;23;20
;323;1;15;1;0
;324;1;15;2;100
;325;1;15;3;50
;326;1;15;4;0
;327;1;15;5;100
;328;1;15;6;100
;329;1;15;7;100
;330;1;15;8;50
;331;1;15;9;20
;332;1;15;10;100
;333;1;15;11;0
;334;1;15;12;100
;335;1;15;13;0
;336;1;15;14;20
;337;1;15;15;20
;338;1;15;16;0
;339;1;15;17;0
;340;1;15;18;0
;341;1;15;19;0
;342;1;15;20;0
;343;1;15;21;20
;344;1;15;22;20
;345;1;15;23;100
;346;1;16;1;100
;347;1;16;2;20
;348;1;16;3;20
;349;1;16;4;100
;350;1;16;5;0
;351;1;16;6;0
;352;1;16;7;0
;353;1;16;8;20
;354;1;16;9;20
;355;1;16;10;0
;356;1;16;11;0
;357;1;16;12;0
;358;1;16;13;20
;359;1;16;14;50
;360;1;16;15;50
;361;1;16;16;0
;362;1;16;17;0
;363;1;16;18;0
;364;1;16;19;20
;365;1;16;20;0
;366;1;16;21;50
;367;1;16;22;100
;368;1;16;23;100
;369;1;17;1;0
;370;1;17;2;0
;371;1;17;3;0
;372;1;17;4;0
;373;1;17;5;0
;374;1;17;6;0
;375;1;17;7;0
;376;1;17;8;100
;377;1;17;9;0
;378;1;17;10;0
;379;1;17;11;0
;380;1;17;12;0
;381;1;17;13;0
;382;1;17;14;0
;383;1;17;15;0
;384;1;17;16;0
;385;1;17;17;0
;386;1;17;18;20
;387;1;17;19;70
;388;1;17;20;0
;389;1;17;21;0
;390;1;17;22;0
;391;1;17;23;50
;392;1;18;1;0
;393;1;18;2;0
;394;1;18;3;0
;395;1;18;4;0
;396;1;18;5;0
;397;1;18;6;0
;398;1;18;7;0
;399;1;18;8;0
;400;1;18;9;0
;401;1;18;10;0
;402;1;18;11;0
;403;1;18;12;0
;404;1;18;13;0
;405;1;18;14;0
;406;1;18;15;0
;407;1;18;16;0
;408;1;18;17;0
;409;1;18;18;0
;410;1;18;19;0
;411;1;18;20;0
;412;1;18;21;0
;413;1;18;22;0
;414;1;18;23;0
;415;2;1;1;0
;416;2;1;2;0
;417;2;1;3;0
;418;2;1;4;0
;419;2;1;5;0
;420;2;1;6;0
;421;2;1;7;0
;422;2;1;8;0
;423;2;1;9;0
;424;2;1;10;0
;425;2;1;11;0
;426;2;1;12;0
;427;2;1;13;100
;428;2;1;14;0
;429;2;1;15;0
;430;2;1;16;100
;431;2;1;17;100
;432;2;1;18;0
;433;2;1;19;0
;434;2;1;20;0
;435;2;1;21;0
;436;2;1;22;0
;437;2;1;23;0
;438;2;2;1;0
;439;2;2;2;50
;440;2;2;3;50
;441;2;2;4;0
;442;2;2;5;0
;443;2;2;6;0
;444;2;2;7;0
;445;2;2;8;50
;446;2;2;9;20
;447;2;2;10;0
;448;2;2;11;0
;449;2;2;12;0
;450;2;2;13;100
;451;2;2;14;100
;452;2;2;15;100
;453;2;2;16;20
;454;2;2;17;0
;455;2;2;18;0
;456;2;2;19;0
;457;2;2;20;0
;458;2;2;21;20
;459;2;2;22;0
;460;2;2;23;20
;461;2;3;1;0
;462;2;3;2;0
;463;2;3;3;0
;464;2;3;4;0
;465;2;3;5;0
;466;2;3;6;0
;467;2;3;7;0
;468;2;3;8;0
;469;2;3;9;0
;470;2;3;10;0
;471;2;3;11;0
;472;2;3;12;0
;473;2;3;13;0
;474;2;3;14;0
;475;2;3;15;0
;476;2;3;16;0
;477;2;3;17;0
;478;2;3;18;0
;479;2;3;19;0
;480;2;3;20;0
;481;2;3;21;0
;482;2;3;22;0
;483;2;3;23;0
;484;2;4;1;0
;485;2;4;2;0
;486;2;4;3;0
;487;2;4;4;0
;488;2;4;5;0
;489;2;4;6;0
;490;2;4;7;0
;491;2;4;8;0
;492;2;4;9;0
;493;2;4;10;0
;494;2;4;11;0
;495;2;4;12;0
;496;2;4;13;0
;497;2;4;14;0
;498;2;4;15;0
;499;2;4;16;0
;500;2;4;17;0
;501;2;4;18;0
;502;2;4;19;0
;503;2;4;20;0
;504;2;4;21;0
;505;2;4;22;0
;506;2;4;23;0
;507;2;5;1;50
;508;2;5;2;50
;509;2;5;3;50
;510;2;5;4;0
;511;2;5;5;0
;512;2;5;6;0
;513;2;5;7;0
;514;2;5;8;50
;515;2;5;9;50
;516;2;5;10;20
;517;2;5;11;0
;518;2;5;12;0
;519;2;5;13;100
;520;2;5;14;100
;521;2;5;15;100
;522;2;5;16;0
;523;2;5;17;0
;524;2;5;18;0
;525;2;5;19;100
;526;2;5;20;0
;527;2;5;21;20
;528;2;5;22;20
;529;2;5;23;50
;530;2;6;1;50
;531;2;6;2;50
;532;2;6;3;50
;533;2;6;4;0
;534;2;6;5;0
;535;2;6;6;0
;536;2;6;7;0
;537;2;6;8;50
;538;2;6;9;50
;539;2;6;10;70
;540;2;6;11;0
;541;2;6;12;100
;542;2;6;13;70
;543;2;6;14;50
;544;2;6;15;50
;545;2;6;16;0
;546;2;6;17;0
;547;2;6;18;50
;548;2;6;19;20
;549;2;6;20;0
;550;2;6;21;0
;551;2;6;22;0
;552;2;6;23;50
;553;2;7;1;100
;554;2;7;2;100
;555;2;7;3;70
;556;2;7;4;100
;557;2;7;5;0
;558;2;7;6;0
;559;2;7;7;0
;560;2;7;8;20
;561;2;7;9;20
;562;2;7;10;50
;563;2;7;11;100
;564;2;7;12;70
;565;2;7;13;0
;566;2;7;14;0
;567;2;7;15;0
;568;2;7;16;0
;569;2;7;17;0
;570;2;7;18;70
;571;2;7;19;50
;572;2;7;20;0
;573;2;7;21;0
;574;2;7;22;0
;575;2;7;23;20
;576;2;8;1;50
;577;2;8;2;50
;578;2;8;3;20
;579;2;8;4;50
;580;2;8;5;0
;581;2;8;6;0
;582;2;8;7;0
;583;2;8;8;70
;584;2;8;9;50
;585;2;8;10;50
;586;2;8;11;70
;587;2;8;12;50
;588;2;8;13;70
;589;2;8;14;50
;590;2;8;15;50
;591;2;8;16;20
;592;2;8;17;0
;593;2;8;18;20
;594;2;8;19;50
;595;2;8;20;0
;596;2;8;21;20
;597;2;8;22;10
;598;2;8;23;50
;599;2;9;1;50
;600;2;9;2;50
;601;2;9;3;0
;602;2;9;4;0
;603;2;9;5;0
;604;2;9;6;0
;605;2;9;7;0
;606;2;9;8;50
;607;2;9;9;50
;608;2;9;10;0
;609;2;9;11;0
;610;2;9;12;0
;611;2;9;13;0
;612;2;9;14;20
;613;2;9;15;20
;614;2;9;16;0
;615;2;9;17;0
;616;2;9;18;20
;617;2;9;19;20
;618;2;9;20;0
;619;2;9;21;0
;620;2;9;22;0
;621;2;9;23;20
;622;2;10;1;100
;623;2;10;2;100
;624;2;10;3;100
;625;2;10;4;100
;626;2;10;5;0
;627;2;10;6;0
;628;2;10;7;0
;629;2;10;8;50
;630;2;10;9;20
;631;2;10;10;0
;632;2;10;11;0
;633;2;10;12;0
;634;2;10;13;100
;635;2;10;14;100
;636;2;10;15;50
;637;2;10;16;0
;638;2;10;17;0
;639;2;10;18;100
;640;2;10;19;100
;641;2;10;20;50
;642;2;10;21;100
;643;2;10;22;50
;644;2;10;23;50
;645;2;11;1;100
;646;2;11;2;100
;647;2;11;3;50
;648;2;11;4;100
;649;2;11;5;0
;650;2;11;6;0
;651;2;11;7;0
;652;2;11;8;0
;653;2;11;9;50
;654;2;11;10;20
;655;2;11;11;100
;656;2;11;12;100
;657;2;11;13;0
;658;2;11;14;0
;659;2;11;15;0
;660;2;11;16;0
;661;2;11;17;0
;662;2;11;18;100
;663;2;11;19;20
;664;2;11;20;0
;665;2;11;21;0
;666;2;11;22;0
;667;2;11;23;50
;668;2;12;1;100
;669;2;12;2;100
;670;2;12;3;50
;671;2;12;4;100
;672;2;12;5;0
;673;2;12;6;0
;674;2;12;7;0
;675;2;12;8;0
;676;2;12;9;50
;677;2;12;10;20
;678;2;12;11;100
;679;2;12;12;100
;680;2;12;13;20
;681;2;12;14;0
;682;2;12;15;0
;683;2;12;16;0
;684;2;12;17;0
;685;2;12;18;100
;686;2;12;19;50
;687;2;12;20;0
;688;2;12;21;0
;689;2;12;22;0
;690;2;12;23;50
;691;2;13;1;0
;692;2;13;2;0
;693;2;13;3;0
;694;2;13;4;0
;695;2;13;5;0
;696;2;13;6;0
;697;2;13;7;0
;698;2;13;8;0
;699;2;13;9;0
;700;2;13;10;0
;701;2;13;11;100
;702;2;13;12;0
;703;2;13;13;0
;704;2;13;14;0
;705;2;13;15;0
;706;2;13;16;0
;707;2;13;17;0
;708;2;13;18;0
;709;2;13;19;0
;710;2;13;20;0
;711;2;13;21;0
;712;2;13;22;0
;713;2;13;23;0
;714;2;14;1;100
;715;2;14;2;100
;716;2;14;3;70
;717;2;14;4;100
;718;2;14;5;0
;719;2;14;6;0
;720;2;14;7;0
;721;2;14;8;20
;722;2;14;9;20
;723;2;14;10;50
;724;2;14;11;100
;725;2;14;12;70
;726;2;14;13;0
;727;2;14;14;0
;728;2;14;15;0
;729;2;14;16;0
;730;2;14;17;0
;731;2;14;18;70
;732;2;14;19;50
;733;2;14;20;0
;734;2;14;21;0
;735;2;14;22;0
;736;2;14;23;20
;737;2;15;1;0
;738;2;15;2;100
;739;2;15;3;50
;740;2;15;4;0
;741;2;15;5;100
;742;2;15;6;100
;743;2;15;7;100
;744;2;15;8;50
;745;2;15;9;20
;746;2;15;10;100
;747;2;15;11;0
;748;2;15;12;100
;749;2;15;13;0
;750;2;15;14;20
;751;2;15;15;20
;752;2;15;16;0
;753;2;15;17;0
;754;2;15;18;0
;755;2;15;19;0
;756;2;15;20;0
;757;2;15;21;20
;758;2;15;22;20
;759;2;15;23;100
;760;2;16;1;100
;761;2;16;2;20
;762;2;16;3;20
;763;2;16;4;100
;764;2;16;5;0
;765;2;16;6;0
;766;2;16;7;0
;767;2;16;8;20
;768;2;16;9;20
;769;2;16;10;0
;770;2;16;11;0
;771;2;16;12;0
;772;2;16;13;20
;773;2;16;14;50
;774;2;16;15;50
;775;2;16;16;0
;776;2;16;17;0
;777;2;16;18;0
;778;2;16;19;20
;779;2;16;20;0
;780;2;16;21;50
;781;2;16;22;100
;782;2;16;23;100
;783;2;17;1;0
;784;2;17;2;0
;785;2;17;3;0
;786;2;17;4;0
;787;2;17;5;0
;788;2;17;6;0
;789;2;17;7;0
;790;2;17;8;100
;791;2;17;9;0
;792;2;17;10;0
;793;2;17;11;0
;794;2;17;12;0
;795;2;17;13;0
;796;2;17;14;0
;797;2;17;15;0
;798;2;17;16;0
;799;2;17;17;0
;800;2;17;18;20
;801;2;17;19;70
;802;2;17;20;0
;803;2;17;21;0
;804;2;17;22;0
;805;2;17;23;50
;806;2;18;1;0
;807;2;18;2;0
;808;2;18;3;0
;809;2;18;4;0
;810;2;18;5;0
;811;2;18;6;0
;812;2;18;7;0
;813;2;18;8;0
;814;2;18;9;0
;815;2;18;10;0
;816;2;18;11;0
;817;2;18;12;0
;818;2;18;13;0
;819;2;18;14;0
;820;2;18;15;0
;821;2;18;16;0
;822;2;18;17;0
;823;2;18;18;0
;824;2;18;19;0
;825;2;18;20;0
;826;2;18;21;0
;827;2;18;22;0
;828;2;18;23;0